CLIENTNUM,Attrition_Flag,Customer_Age,Gender,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Total_Trans_Ct,Quarter,Year,Date_Leave
708158133,Attrited Customer,45,M,College,Married,Less than $40K,Blue,36,3,2,2,3031,2517,50,Q4,2018,"Q4,2018"
708160008,Existing Customer,44,M,Doctorate,Single,$120K +,Platinum,33,2,2,3,34516,1058,84,none,2018,"none,2018"
708160008,Existing Customer,44,M,Doctorate,Single,$120K +,Platinum,45,2,5,3,34516,345,37,none,2019,"none,2019"
708161133,Existing Customer,45,M,Graduate,Single,$40K - $60K,Silver,32,5,1,2,6629,1389,69,none,2018,"none,2018"
708161133,Existing Customer,45,M,Graduate,Single,$40K - $60K,Silver,44,5,2,2,6629,1155,36,none,2019,"none,2019"
708162558,Existing Customer,64,F,High School,Married,$40K - $60K,Blue,66,6,3,2,3250,1338,77,none,2019,"none,2019"
708162558,Existing Customer,64,F,High School,Married,$40K - $60K,Blue,54,6,1,2,3250,1992,36,none,2018,"none,2018"
708163758,Existing Customer,41,M,Doctorate,Single,$120K +,Platinum,33,2,4,3,34516,638,139,none,2018,"none,2018"
708163758,Existing Customer,41,M,Doctorate,Single,$120K +,Platinum,45,2,5,3,34516,1278,86,none,2019,"none,2019"
708170508,Attrited Customer,55,M,Graduate,Married,Less than $40K,Blue,36,2,3,2,"1438,3",0,42,Q2,2018,"Q2,2018"
708171858,Existing Customer,33,F,High School,Married,Less than $40K,Blue,40,5,0,3,1864,1255,45,none,2019,"none,2019"
708171858,Existing Customer,33,F,High School,Married,Less than $40K,Blue,28,5,2,3,1864,1081,44,none,2018,"none,2018"
708173433,Existing Customer,26,F,Graduate,Single,$40K - $60K,Silver,14,4,2,4,5645,2324,57,none,2018,"none,2018"
708173433,Existing Customer,26,F,Graduate,Single,$40K - $60K,Silver,26,4,4,4,5645,1380,48,none,2019,"none,2019"
708174708,Existing Customer,38,M,Graduate,Married,$40K - $60K,Silver,27,6,2,4,5535,1276,38,none,2018,"none,2018"
708174708,Existing Customer,38,M,Graduate,Married,$40K - $60K,Silver,39,6,1,4,5535,1318,33,none,2019,"none,2019"
708176208,Existing Customer,48,F,Graduate,Married,$40K - $60K,Silver,36,4,4,1,7268,0,80,none,2018,"none,2018"
708176208,Existing Customer,48,F,Graduate,Married,$40K - $60K,Silver,48,4,4,1,7268,916,46,none,2019,"none,2019"
708177333,Existing Customer,51,F,High School,Married,$40K - $60K,Silver,36,5,3,0,11261,2485,26,none,2018,"none,2018"
708177333,Existing Customer,51,F,High School,Married,$40K - $60K,Silver,48,5,0,0,11261,1158,87,none,2019,"none,2019"
708178608,Existing Customer,31,F,High School,Married,Less than $40K,Blue,48,4,3,2,2488,1368,44,none,2019,"none,2019"
708178608,Existing Customer,31,F,High School,Married,Less than $40K,Blue,36,4,2,2,2488,0,73,none,2018,"none,2018"
708185208,Existing Customer,27,M,Graduate,Single,$40K - $60K,Blue,28,4,6,2,3178,788,74,none,2019,"none,2019"
708185208,Existing Customer,27,M,Graduate,Single,$40K - $60K,Blue,16,4,1,2,3178,1118,31,none,2018,"none,2018"
708186933,Attrited Customer,55,M,Graduate,Single,Less than $40K,Blue,36,4,3,2,1819,725,45,Q4,2018,"Q4,2018"
708190158,Attrited Customer,55,F,High School,Married,Less than $40K,Blue,26,2,3,0,2920,2426,41,Q4,2018,"Q4,2018"
708193008,Existing Customer,41,M,Graduate,Single,$60K - $80K,Silver,30,3,3,4,14480,0,43,none,2018,"none,2018"
708193008,Existing Customer,41,M,Graduate,Single,$60K - $80K,Silver,42,3,3,4,14480,772,44,none,2019,"none,2019"
708195633,Existing Customer,40,M,Graduate,Married,$80K - $120K,Platinum,32,5,2,3,34516,1182,54,none,2018,"none,2018"
708195633,Existing Customer,40,M,Graduate,Married,$80K - $120K,Platinum,44,5,1,3,34516,877,81,none,2019,"none,2019"
708197358,Attrited Customer,57,M,Post-Graduate,Married,$80K - $120K,Gold,48,4,1,3,30543,264,63,Q3,2018,"Q3,2018"
708204033,Existing Customer,36,F,College,Single,Less than $40K,Blue,36,3,6,1,2980,321,35,none,2019,"none,2019"
708204033,Existing Customer,36,F,College,Single,Less than $40K,Blue,24,3,1,1,2980,2093,70,none,2018,"none,2018"
708205083,Existing Customer,38,F,High School,Married,Less than $40K,Blue,40,6,4,3,1500,930,56,none,2019,"none,2019"
708205083,Existing Customer,38,F,High School,Married,Less than $40K,Blue,28,6,4,3,"1438,3",0,81,none,2018,"none,2018"
708207783,Existing Customer,50,F,High School,Married,Less than $40K,Blue,54,1,2,2,1477,1006,83,none,2019,"none,2019"
708207783,Existing Customer,50,F,High School,Married,Less than $40K,Blue,42,1,3,2,1477,0,80,none,2018,"none,2018"
708208758,Existing Customer,53,M,Graduate,Single,Less than $40K,Blue,57,6,1,2,1826,622,53,none,2019,"none,2019"
708208758,Existing Customer,53,M,Graduate,Single,Less than $40K,Blue,45,6,3,2,1826,883,48,none,2018,"none,2018"
708211383,Attrited Customer,35,F,Graduate,Married,$40K - $60K,Blue,39,3,5,3,2664,1211,47,Q3,2019,"Q3,2019"
708211383,Existing Customer,35,F,Graduate,Married,$40K - $60K,Blue,27,3,3,3,2664,0,74,none,2018,"none,2018"
708212658,Existing Customer,38,F,Graduate,Married,$40K - $60K,Blue,30,6,5,2,2193,404,47,none,2019,"none,2019"
708212658,Existing Customer,38,F,Graduate,Married,$40K - $60K,Blue,18,6,3,2,2193,1260,47,none,2018,"none,2018"
708216108,Existing Customer,56,F,College,Married,$40K - $60K,Blue,44,5,1,4,4088,1557,39,none,2018,"none,2018"
708216108,Existing Customer,56,F,College,Married,$40K - $60K,Blue,56,5,4,4,4088,262,35,none,2019,"none,2019"
708217758,Existing Customer,63,M,Graduate,Married,$60K - $80K,Silver,49,5,2,3,14035,2061,30,none,2018,"none,2018"
708217758,Existing Customer,63,M,Graduate,Married,$60K - $80K,Silver,61,5,4,3,14035,789,43,none,2019,"none,2019"
708219108,Existing Customer,49,M,College,Divorced,$60K - $80K,Silver,38,2,3,3,9959,1143,77,none,2018,"none,2018"
708219108,Existing Customer,49,M,College,Divorced,$60K - $80K,Silver,50,2,3,3,9959,1069,86,none,2019,"none,2019"
708219858,Existing Customer,39,M,Graduate,Single,$40K - $60K,Silver,26,6,3,2,6423,0,70,none,2018,"none,2018"
708219858,Existing Customer,39,M,Graduate,Single,$40K - $60K,Silver,38,6,5,2,6423,922,42,none,2019,"none,2019"
708222558,Attrited Customer,37,F,Uneducated,Married,Less than $40K,Blue,48,6,3,3,2310,1195,58,Q2,2019,"Q2,2019"
708222558,Existing Customer,37,F,Uneducated,Married,Less than $40K,Blue,36,6,2,3,2310,1513,77,none,2018,"none,2018"
708223383,Attrited Customer,47,F,College,Married,$40K - $60K,Silver,39,6,3,4,11410,979,38,Q2,2018,"Q2,2018"
708224133,Existing Customer,61,M,High School,Single,$40K - $60K,Blue,49,1,2,3,2228,1480,71,none,2018,"none,2018"
708224133,Existing Customer,61,M,High School,Single,$40K - $60K,Blue,61,1,6,3,2228,1370,51,none,2019,"none,2019"
708225483,Existing Customer,47,M,Graduate,Married,$60K - $80K,Silver,36,3,2,4,11242,1561,81,none,2018,"none,2018"
708225483,Existing Customer,47,M,Graduate,Married,$60K - $80K,Silver,48,3,4,4,11242,445,32,none,2019,"none,2019"
708226833,Existing Customer,53,M,Graduate,Married,$120K +,Platinum,44,1,6,3,34516,831,107,none,2018,"none,2018"
708226833,Attrited Customer,53,M,Graduate,Married,$120K +,Platinum,56,1,1,3,34516,672,57,Q1,2019,"Q1,2019"
708229308,Attrited Customer,49,F,College,Married,$40K - $60K,Blue,41,5,2,2,3243,0,71,Q2,2018,"Q2,2018"
708231183,Existing Customer,30,M,College,Divorced,$40K - $60K,Silver,22,5,3,4,12539,910,72,none,2018,"none,2018"
708231183,Existing Customer,30,M,College,Divorced,$40K - $60K,Silver,34,5,5,4,12539,917,73,none,2019,"none,2019"
708234558,Existing Customer,55,F,College,Divorced,$40K - $60K,Blue,55,5,0,1,2239,303,64,none,2019,"none,2019"
708234558,Existing Customer,55,F,College,Divorced,$40K - $60K,Blue,43,5,2,1,2239,1340,73,none,2018,"none,2018"
708238833,Existing Customer,57,F,High School,Married,Less than $40K,Blue,48,6,1,3,3032,1180,79,none,2019,"none,2019"
708238833,Existing Customer,57,F,High School,Married,Less than $40K,Blue,36,6,2,3,3032,2215,30,none,2018,"none,2018"
708241233,Attrited Customer,52,F,High School,Married,Less than $40K,Blue,47,3,3,2,2972,0,25,Q4,2018,"Q4,2018"
708242283,Existing Customer,29,M,College,Married,$60K - $80K,Silver,36,5,3,2,5346,0,80,none,2018,"none,2018"
708242283,Existing Customer,29,M,College,Married,$60K - $80K,Silver,48,5,1,2,5346,627,86,none,2019,"none,2019"
708243483,Existing Customer,53,M,College,Married,$60K - $80K,Silver,43,4,2,5,14938,1155,51,none,2018,"none,2018"
708243483,Existing Customer,53,M,College,Married,$60K - $80K,Silver,55,4,3,5,14938,1221,78,none,2019,"none,2019"
708244458,Existing Customer,47,F,College,Married,$40K - $60K,Blue,35,3,3,2,2793,1517,72,none,2018,"none,2018"
708244458,Existing Customer,47,F,College,Married,$40K - $60K,Blue,47,3,4,2,2793,1173,75,none,2019,"none,2019"
708245808,Existing Customer,35,M,Graduate,Married,$60K - $80K,Gold,36,4,1,4,19671,924,124,none,2018,"none,2018"
708245808,Attrited Customer,35,M,Graduate,Married,$60K - $80K,Gold,48,4,4,4,19671,318,36,Q3,2019,"Q3,2019"
708248358,Existing Customer,42,M,Graduate,Married,$60K - $80K,Gold,30,3,1,3,29937,0,109,none,2018,"none,2018"
708248358,Existing Customer,42,M,Graduate,Married,$60K - $80K,Gold,42,3,0,3,29937,1174,33,none,2019,"none,2019"
708249708,Existing Customer,48,F,Graduate,Married,Less than $40K,Silver,51,3,0,3,4844,833,73,none,2019,"none,2019"
708249708,Existing Customer,48,F,Graduate,Married,Less than $40K,Silver,39,3,3,3,4844,1576,48,none,2018,"none,2018"
708252108,Existing Customer,64,M,College,Single,$40K - $60K,Silver,53,6,3,2,7362,1907,65,none,2018,"none,2018"
708252108,Existing Customer,64,M,College,Single,$40K - $60K,Silver,65,6,3,2,7362,990,44,none,2019,"none,2019"
708253458,Existing Customer,59,F,Graduate,Single,$60K - $80K,Silver,48,4,2,3,5528,1823,81,none,2018,"none,2018"
708253458,Existing Customer,59,F,Graduate,Single,$60K - $80K,Silver,60,4,2,3,5528,907,53,none,2019,"none,2019"
708254733,Existing Customer,41,F,High School,Married,Less than $40K,Blue,48,5,5,1,2968,736,52,none,2019,"none,2019"
708254733,Existing Customer,41,F,High School,Married,Less than $40K,Blue,36,5,4,1,2968,1873,85,none,2018,"none,2018"
708255633,Existing Customer,36,M,Graduate,Single,$40K - $60K,Blue,27,3,2,4,3761,1710,65,none,2018,"none,2018"
708255633,Existing Customer,36,M,Graduate,Single,$40K - $60K,Blue,39,3,6,4,3761,474,57,none,2019,"none,2019"
708260208,Existing Customer,43,F,High School,Divorced,$40K - $60K,Blue,36,4,3,2,2057,1279,76,none,2018,"none,2018"
708260208,Existing Customer,43,F,High School,Divorced,$40K - $60K,Blue,48,4,1,2,2057,483,88,none,2019,"none,2019"
708266883,Attrited Customer,55,F,Graduate,Single,Less than $40K,Blue,36,1,2,3,1666,0,35,Q2,2018,"Q2,2018"
708267858,Existing Customer,64,F,High School,Married,$40K - $60K,Silver,36,5,2,3,6088,2145,52,none,2018,"none,2018"
708267858,Existing Customer,64,F,High School,Married,$40K - $60K,Silver,48,5,2,3,6088,1498,68,none,2019,"none,2019"
708269583,Existing Customer,42,F,Uneducated,Divorced,Less than $40K,Blue,40,6,2,4,2000,256,74,none,2019,"none,2019"
708269583,Existing Customer,42,F,Uneducated,Divorced,Less than $40K,Blue,28,6,2,4,2029,1377,86,none,2018,"none,2018"
708271833,Existing Customer,42,M,Graduate,Single,$40K - $60K,Silver,36,3,2,3,15069,1843,67,none,2018,"none,2018"
708271833,Existing Customer,42,M,Graduate,Single,$40K - $60K,Silver,48,3,5,3,15069,1468,47,none,2019,"none,2019"
708272808,Existing Customer,45,M,Graduate,Divorced,$40K - $60K,Blue,36,4,2,1,2718,1474,59,none,2018,"none,2018"
708272808,Existing Customer,45,M,Graduate,Divorced,$40K - $60K,Blue,48,4,1,1,2718,631,47,none,2019,"none,2019"
708273858,Existing Customer,40,M,Graduate,Single,$120K +,Platinum,30,3,2,1,34516,0,80,none,2018,"none,2018"
708273858,Existing Customer,40,M,Graduate,Single,$120K +,Platinum,42,3,5,1,34516,1454,68,none,2019,"none,2019"
708276183,Attrited Customer,52,F,High School,Married,Less than $40K,Blue,45,2,4,1,1760,0,35,Q2,2018,"Q2,2018"
708281433,Attrited Customer,57,F,Graduate,Married,$60K - $80K,Gold,48,5,4,3,20000,389,51,Q3,2019,"Q3,2019"
708281433,Existing Customer,57,F,Graduate,Married,$60K - $80K,Gold,36,5,1,3,"1438,3",0,75,none,2018,"none,2018"
708285108,Existing Customer,42,M,Graduate,Single,$40K - $60K,Silver,36,1,1,2,6128,2239,116,none,2018,"none,2018"
708285108,Existing Customer,42,M,Graduate,Single,$40K - $60K,Silver,48,1,5,2,6128,822,89,none,2019,"none,2019"
708286683,Existing Customer,57,M,Graduate,Single,$60K - $80K,Silver,43,6,3,1,12045,1749,86,none,2018,"none,2018"
708286683,Existing Customer,57,M,Graduate,Single,$60K - $80K,Silver,55,6,4,1,12045,881,71,none,2019,"none,2019"
708288108,Attrited Customer,43,M,Graduate,Married,$60K - $80K,Silver,30,2,5,3,5639,1547,15,Q4,2018,"Q4,2018"
708290208,Existing Customer,43,F,High School,Married,$40K - $60K,Silver,31,3,3,4,13608,1190,76,none,2018,"none,2018"
708290208,Existing Customer,43,F,High School,Married,$40K - $60K,Silver,43,3,6,4,13608,747,75,none,2019,"none,2019"
708291633,Existing Customer,33,F,College,Divorced,Less than $40K,Silver,33,3,3,3,4651,800,80,none,2019,"none,2019"
708291633,Existing Customer,33,F,College,Divorced,Less than $40K,Silver,21,3,3,3,4651,2499,79,none,2018,"none,2018"
708292833,Existing Customer,35,M,Graduate,Married,$80K - $120K,Gold,36,4,2,3,27389,1250,60,none,2018,"none,2018"
708292833,Existing Customer,35,M,Graduate,Married,$80K - $120K,Gold,48,4,4,3,27389,950,80,none,2019,"none,2019"
708295533,Existing Customer,64,F,College,Married,$40K - $60K,Blue,68,5,4,2,3549,1491,71,none,2019,"none,2019"
708295533,Existing Customer,64,F,College,Married,$40K - $60K,Blue,56,5,3,2,3549,1880,22,none,2018,"none,2018"
708296883,Existing Customer,44,F,Graduate,Single,$40K - $60K,Silver,38,3,1,0,11749,788,27,none,2018,"none,2018"
708296883,Existing Customer,44,F,Graduate,Single,$40K - $60K,Silver,50,3,1,0,11749,447,48,none,2019,"none,2019"
708298233,Attrited Customer,49,F,Graduate,Married,$40K - $60K,Silver,37,4,2,1,6184,0,49,Q4,2018,"Q4,2018"
708300483,Attrited Customer,64,F,College,Married,$40K - $60K,Silver,56,5,4,3,7882,605,16,Q4,2018,"Q4,2018"
708301683,Attrited Customer,60,M,Graduate,Married,$80K - $120K,Gold,30,6,2,3,20798,1059,90,Q4,2018,"Q4,2018"
708303108,Existing Customer,50,F,Graduate,Married,Less than $40K,Blue,54,5,6,0,1770,971,55,none,2019,"none,2019"
708303108,Existing Customer,50,F,Graduate,Married,Less than $40K,Blue,42,5,3,0,1770,1706,94,none,2018,"none,2018"
708307533,Existing Customer,42,M,College,Married,Less than $40K,Blue,42,1,1,3,3086,543,55,none,2019,"none,2019"
708307533,Existing Customer,42,M,College,Married,Less than $40K,Blue,30,1,2,3,3086,0,81,none,2018,"none,2018"
708313608,Existing Customer,53,M,Graduate,Married,$80K - $120K,Gold,55,5,3,0,30000,12080,51,none,2019,"none,2019"
708313608,Existing Customer,53,M,Graduate,Married,$80K - $120K,Gold,43,5,3,0,2464,2116,43,none,2018,"none,2018"
708314808,Existing Customer,53,F,Graduate,Married,$40K - $60K,Silver,41,5,1,3,5659,1393,40,none,2018,"none,2018"
708314808,Existing Customer,53,F,Graduate,Married,$40K - $60K,Silver,53,5,1,3,5659,659,33,none,2019,"none,2019"
708316008,Attrited Customer,59,F,College,Single,$40K - $60K,Silver,36,3,2,3,10031,0,29,Q4,2018,"Q4,2018"
708319908,Attrited Customer,55,M,Graduate,Married,$40K - $60K,Blue,17,1,1,2,4116,1473,70,Q3,2018,"Q3,2018"
708323208,Attrited Customer,49,F,Uneducated,Married,Less than $40K,Blue,36,4,2,4,1522,0,36,Q2,2018,"Q2,2018"
708324483,Existing Customer,47,F,College,Married,Less than $40K,Blue,51,3,3,4,2000,290,70,none,2019,"none,2019"
708324483,Existing Customer,47,F,College,Married,Less than $40K,Blue,39,3,3,4,1548,0,71,none,2018,"none,2018"
708330858,Attrited Customer,57,M,Graduate,Married,$60K - $80K,Silver,38,2,3,3,8249,1381,11,Q4,2018,"Q4,2018"
708331758,Existing Customer,47,F,Graduate,Divorced,$80K - $120K,Platinum,35,3,1,4,32444,1843,60,none,2018,"none,2018"
708331758,Existing Customer,47,F,Graduate,Divorced,$80K - $120K,Platinum,47,3,5,4,32444,1002,79,none,2019,"none,2019"
708332808,Existing Customer,47,M,High School,Married,$40K - $60K,Blue,51,2,0,2,3471,1013,72,none,2019,"none,2019"
708332808,Existing Customer,47,M,High School,Married,$40K - $60K,Blue,39,2,2,2,3471,0,115,none,2018,"none,2018"
708334158,Existing Customer,46,F,Graduate,Divorced,$40K - $60K,Silver,34,4,2,4,9863,686,58,none,2018,"none,2018"
708334158,Existing Customer,46,F,Graduate,Divorced,$40K - $60K,Silver,46,4,0,4,9863,1084,72,none,2019,"none,2019"
708337683,Existing Customer,51,M,Graduate,Married,$60K - $80K,Gold,40,4,2,2,21800,893,62,none,2018,"none,2018"
708337683,Existing Customer,51,M,Graduate,Married,$60K - $80K,Gold,52,4,4,2,21800,809,86,none,2019,"none,2019"
708338958,Existing Customer,58,F,Graduate,Single,$40K - $60K,Blue,36,5,1,1,3173,1713,75,none,2018,"none,2018"
708338958,Existing Customer,58,F,Graduate,Single,$40K - $60K,Blue,48,5,3,1,3173,1257,82,none,2019,"none,2019"
708340758,Attrited Customer,60,M,High School,Married,$40K - $60K,Silver,32,2,3,3,7769,0,74,Q3,2018,"Q3,2018"
708341958,Existing Customer,31,F,College,Divorced,$40K - $60K,Blue,21,2,2,3,2061,1904,86,none,2018,"none,2018"
708341958,Existing Customer,31,F,College,Divorced,$40K - $60K,Blue,33,2,1,3,2061,1271,45,none,2019,"none,2019"
708344358,Existing Customer,53,F,High School,Married,$40K - $60K,Blue,45,5,1,3,2495,1354,31,none,2018,"none,2018"
708344358,Existing Customer,53,F,High School,Married,$40K - $60K,Blue,57,5,5,3,2495,960,39,none,2019,"none,2019"
708347583,Existing Customer,37,F,High School,Married,$40K - $60K,Blue,36,4,1,4,2509,1144,38,none,2018,"none,2018"
708347583,Attrited Customer,37,F,High School,Married,$40K - $60K,Blue,48,4,3,4,2509,1154,62,Q2,2019,"Q2,2019"
708354858,Attrited Customer,51,M,Graduate,Single,$60K - $80K,Silver,42,2,4,2,14938,0,80,Q4,2018,"Q4,2018"
708355683,Existing Customer,46,F,College,Married,$60K - $80K,Gold,38,3,2,3,16815,0,65,none,2018,"none,2018"
708355683,Attrited Customer,46,F,College,Married,$60K - $80K,Gold,50,3,1,3,16815,401,51,Q1,2019,"Q1,2019"
708357183,Existing Customer,47,F,College,Married,Less than $40K,Blue,50,4,5,3,2444,869,73,none,2019,"none,2019"
708357183,Existing Customer,47,F,College,Married,Less than $40K,Blue,38,4,2,3,"1438,3",0,64,none,2018,"none,2018"
708358683,Existing Customer,46,M,Graduate,Married,$80K - $120K,Platinum,35,6,3,2,34516,1236,40,none,2018,"none,2018"
708358683,Existing Customer,46,M,Graduate,Married,$80K - $120K,Platinum,47,6,3,2,34516,1368,84,none,2019,"none,2019"
708360108,Existing Customer,50,M,College,Single,$40K - $60K,Blue,53,3,1,1,2800,950,57,none,2019,"none,2019"
